feature,mean,std
LOS_DAYS,0.18976881217288846,0.010477060394033734
CLM_TOT_CHRG_AMT,0.04403159528458487,0.004672625551029474
CLM_LINE_NUM,0.029828351799860712,0.0018561219803005823
PRIOR_12M_ADMITS,0.019657974497321637,0.003846681295387895
CLM_UTLZTN_DAY_CNT,0.01213368302273375,0.001256645142134021
AGE,0.0030155704212063927,0.00106221718480215
CLM_IP_ADMSN_TYPE_CD,0.0009767425739143575,0.0002729304506338547
CC_DIABETES,0.0009321456217579109,0.0006644173165442221
NCH_BENE_PTA_COINSRNC_LBLTY_AM,0.0008455705367425903,0.00038208925737959757
CC_COUNT,0.0006388378604248012,0.0004958904084105951
NCH_BENE_IP_DDCTBL_AMT,0.00034491390631575435,0.00015933260629800297
COST_TIER,0.000304630303590588,0.00014693040508677825
LOS_CAT,0.0002172849776053661,7.722386949999352e-05
ADMIT_DOW,0.0001044446755168682,0.00026421504035976245
REV_CNTR_IS_450,9.751250678792603e-05,9.302278990109246e-05
CLM_DRG_OUTLIER_STAY_CD,6.385297640380354e-05,2.4698686787288213e-05
DUAL_ELIGIBLE,4.6830650969302094e-05,5.993177623641964e-05
CC_CHF,4.236325334395404e-05,0.0001184138717213718
CC_COPD,1.763851821055725e-05,6.188175584583071e-05
SOCIAL_RISK,1.663720494970248e-05,1.6921477141592722e-05
FRAILTY_SCORE,3.7741807525989064e-06,4.508864586961424e-05
DRG_Infectious,0.0,0.0
BENE_ID,0.0,0.0
BENE_TOT_COINSRNC_DAYS_CNT,0.0,0.0
DRG_Other,0.0,0.0
CHF_CKD,0.0,0.0
ADMIT_QUARTER,0.0,0.0
MONTH_SIN,-1.5404819380115954e-07,5.292155252890874e-05
HIGH_PRIOR_USE,-1.0321228996357235e-05,2.0922217534597917e-05
WEEKEND_ADMIT,-1.555886759158446e-05,1.2182475582066714e-05
NCH_PRMRY_PYR_CLM_PD_AMT,-2.6342241170003906e-05,0.00023127562214613948
MALE,-2.8729988176638226e-05,0.00027198784639300387
REV_CNTR_DDCTBL_COINSRNC_CD,-2.9962373728446382e-05,5.441162338265685e-05
MONTH_COS,-9.358427784120771e-05,3.2421564221517225e-05
CC_ALZHEIMERS,-9.820572366050495e-05,6.26059517200806e-05
NCH_IP_NCVRD_CHRG_AMT,-0.00011106874785762332,0.0003080950977986323
CC_CKD,-0.000133636808275354,0.00016908622678944577
CLM_SRC_IP_ADMSN_CD,-0.0001483484108001735,0.00012262284622482648
PRVDR_STATE_CD,-0.00029061191793842885,0.0006060424426707754
